"customer_id","age","gender_cleaned","city","email_cleaned","age_group"
C000001,61,Other,Lisbon,user1@example.com,"60+"
C000002,61,Female,Coimbra,user2@example.com,"60+"
C000003,22,Female,Faro,user3@example.com,"20-29"
C000004,46,Other,Lisbon,Not Provided,"40-49"
C000005,47,Other,Faro,user5@example.com,"40-49"
C000006,59,Female,Faro,user6@example.com,"50-59"
C000007,52,Female,Faro,user7@example.com,"50-59"
C000008,59,Other,Lisbon,user8@example.com,"50-59"
C000009,49,Female,Braga,user9@example.com,"40-49"
C000010,48,Male,Braga,user10@example.com,"40-49"
C000011,20,Male,Braga,user11@example.com,"20-29"
C000012,32,Female,Coimbra,user12@example.com,"30-39"
C000013,49,Other,Porto,user13@example.com,"40-49"
C000014,45,Male,Faro,user14@example.com,"40-49"
C000015,18,Male,Faro,user15@example.com,Under 20
C000016,23,Female,Lisbon,user16@example.com,"20-29"
C000017,27,Female,Faro,user17@example.com,"20-29"
C000018,63,Other,Porto,Not Provided,"60+"
C000019,52,Female,Porto,user19@example.com,"50-59"
C000020,68,Other,Coimbra,user20@example.com,"60+"
C000021,62,Female,Lisbon,user21@example.com,"60+"
C000022,23,Female,Lisbon,user22@example.com,"20-29"
C000023,40,Male,Braga,user23@example.com,"40-49"
C000024,42,Female,Faro,user24@example.com,"40-49"
C000025,29,Male,Braga,user25@example.com,"20-29"
C000026,65,Other,Faro,user26@example.com,"60+"
C000027,36,Male,Porto,user27@example.com,"30-39"
C000028,25,Male,Faro,Not Provided,"20-29"
C000029,51,Male,Porto,user29@example.com,"50-59"
C000030,37,Other,Coimbra,user30@example.com,"30-39"
C000031,31,Other,Coimbra,user31@example.com,"30-39"
C000032,36,Male,Faro,user32@example.com,"30-39"
C000033,39,Male,Porto,user33@example.com,"30-39"
C000034,26,Male,Lisbon,user34@example.com,"20-29"
C000035,27,Male,Porto,user35@example.com,"20-29"
C000036,54,Male,Porto,user36@example.com,"50-59"
C000037,50,Male,Lisbon,user37@example.com,"50-59"
C000038,40,Other,Lisbon,Not Provided,"40-49"
C000039,67,Male,Lisbon,user39@example.com,"60+"
C000040,54,Male,Lisbon,user40@example.com,"50-59"
C000041,21,Other,Faro,user41@example.com,"20-29"
C000042,52,Other,Coimbra,user42@example.com,"50-59"
C000043,55,Female,Lisbon,user43@example.com,"50-59"
C000044,35,Male,Faro,user44@example.com,"30-39"
C000045,51,Other,Coimbra,user45@example.com,"50-59"
C000046,64,Male,Porto,user46@example.com,"60+"
C000047,22,Male,Coimbra,user47@example.com,"20-29"
C000048,19,Male,Porto,user48@example.com,Under 20
C000049,38,Female,Braga,user49@example.com,"30-39"
C000050,29,Other,Porto,user50@example.com,"20-29"
C000051,44,Other,Braga,user51@example.com,"40-49"
C000052,39,Female,Porto,user52@example.com,"30-39"
C000053,35,Female,Faro,user53@example.com,"30-39"
C000054,43,Female,Coimbra,Not Provided,"40-49"
C000055,49,Female,Coimbra,user55@example.com,"40-49"
C000056,65,Other,Coimbra,user56@example.com,"60+"
C000057,67,Other,Braga,user57@example.com,"60+"
C000058,59,Other,Porto,user58@example.com,"50-59"
C000059,68,Female,Lisbon,user59@example.com,"60+"
C000060,52,Other,Coimbra,user60@example.com,"50-59"
C000061,68,Male,Coimbra,user61@example.com,"60+"
C000062,58,Male,Faro,user62@example.com,"50-59"
C000063,67,Other,Coimbra,user63@example.com,"60+"
C000064,44,Male,Coimbra,user64@example.com,"40-49"
C000065,49,Female,Braga,user65@example.com,"40-49"
C000066,21,Other,Braga,user66@example.com,"20-29"
C000067,63,Female,Coimbra,user67@example.com,"60+"
C000068,56,Other,Braga,user68@example.com,"50-59"
C000069,59,Other,Coimbra,user69@example.com,"50-59"
C000070,33,Female,Lisbon,user70@example.com,"30-39"
C000071,64,Male,Faro,user71@example.com,"60+"
C000072,29,Other,Porto,user72@example.com,"20-29"
C000073,67,Male,Porto,user73@example.com,"60+"
C000074,54,Other,Braga,user74@example.com,"50-59"
C000075,36,Other,Porto,user75@example.com,"30-39"
C000076,47,Male,Porto,user76@example.com,"40-49"
C000077,30,Male,Lisbon,user77@example.com,"30-39"
C000078,35,Male,Lisbon,user78@example.com,"30-39"
C000079,48,Other,Braga,user79@example.com,"40-49"
C000080,18,Female,Lisbon,user80@example.com,Under 20
C000081,45,Female,Coimbra,user81@example.com,"40-49"
C000082,45,Male,Lisbon,user82@example.com,"40-49"
C000083,22,Female,Porto,user83@example.com,"20-29"
C000084,18,Other,Faro,user84@example.com,Under 20
C000085,28,Other,Lisbon,user85@example.com,"20-29"
C000086,53,Male,Lisbon,user86@example.com,"50-59"
C000087,59,Other,Faro,user87@example.com,"50-59"
C000088,69,Female,Porto,user88@example.com,"60+"
C000089,44,Male,Lisbon,user89@example.com,"40-49"
C000090,18,Male,Faro,user90@example.com,Under 20
C000091,47,Other,Faro,user91@example.com,"40-49"
C000092,59,Male,Faro,user92@example.com,"50-59"
C000093,19,Other,Braga,user93@example.com,Under 20
C000094,16,Female,Faro,user94@example.com,Under 20
C000095,69,Other,Lisbon,user95@example.com,"60+"
C000096,28,Other,Faro,user96@example.com,"20-29"
C000097,22,Male,Coimbra,user97@example.com,"20-29"
C000098,27,Male,Braga,user98@example.com,"20-29"
C000099,21,Male,Porto,user99@example.com,"20-29"
C000100,26,Male,Coimbra,user100@example.com,"20-29"
C000101,45,Other,Braga,user101@example.com,"40-49"
C000102,20,Female,Coimbra,user102@example.com,"20-29"
C000103,23,Other,Lisbon,user103@example.com,"20-29"
C000104,48,Male,Braga,user104@example.com,"40-49"
C000105,64,Male,Lisbon,user105@example.com,"60+"
C000106,18,Male,Faro,user106@example.com,Under 20
C000107,43,Unknown,Coimbra,user107@example.com,"40-49"
C000108,20,Female,Lisbon,user108@example.com,"20-29"
C000109,56,Male,Porto,user109@example.com,"50-59"
C000110,55,Male,Coimbra,user110@example.com,"50-59"
C000111,33,Female,Coimbra,user111@example.com,"30-39"
